Census_yr,Block_ID,the_geom,CLUE_area,Estabs,Employment,Floor_sqm
2016,662,"MULTIPOLYGON (((144.98995535726976 -37.81761280329104, 144.98881475567057 -37.817498192614224, 144.98882542132947 -37.81743525351291, 144.9878969844568 -37.817346713273935, 144.98794102295108 -37.81707112652522, 144.98758234672312 -37.81703107740836, 144.98543645052794 -37.81679144739936, 144.9854357151158 -37.81679564151859, 144.98514853417532 -37.81676327598361, 144.9851378105022 -37.81682443660657, 144.98256026682998 -37.816537857732456, 144.98258718532998 -37.81639085194033, 144.9826415713614 -37.81609385151066, 144.9851964458714 -37.81637948182137, 144.98537104988287 -37.81639924934593, 144.98605424906881 -37.816473184820765, 144.98607753492254 -37.81647605323195, 144.98764302519805 -37.81665425375571, 144.9877992696348 -37.81665402306537, 144.98801085713714 -37.816653709607436, 144.99008508650945 -37.816887224639025, 144.98997516372262 -37.8175252277798, 144.98995535726976 -37.81761280329104)))",East Melbourne,2,0,10076
2016,1112,"MULTIPOLYGON (((144.94792303695831 -37.82336946617084, 144.9476988192699 -37.82250880341081, 144.9496147590175 -37.82260109604955, 144.95014641070907 -37.82253030493959, 144.9510424146238 -37.82227046211058, 144.95169392616435 -37.82208152064655, 144.95190493129044 -37.82253905456073, 144.95192199215575 -37.822553667374194, 144.95194170160732 -37.82256600573648, 144.95196358390345 -37.82257577209422, 144.95198710932402 -37.82258273103753, 144.952011711129 -37.82258671229847, 144.9520367932084 -37.822587621698425, 144.95257661404847 -37.822430930264105, 144.9525667413132 -37.822409523335004, 144.95292598189664 -37.82230524634312, 144.95299276696568 -37.82245001215685, 144.9530075598591 -37.82248207896046, 144.95294051992417 -37.82250153854629, 144.95318209938543 -37.82302739708472, 144.95316598600712 -37.82303205629152, 144.95324993490993 -37.823214736214595, 144.95319859026185 -37.823229475382426, 144.95316175546273 -37.82314746899721, 144.95196147287785 -37.823143300502736, 144.95219395781817 -37.82364740164818, 144.95097236824898 -37.82363180399277, 144.9480895887926 -37.823383796692774, 144.94792303695831 -37.82336946617084)))",Docklands,8,32,79538
2016,6,"MULTIPOLYGON (((144.97140475559115 -37.819093878461274, 144.96824653356234 -37.81922045406143, 144.96743801558117 -37.817464744736455, 144.9699102385508 -37.81674238675368, 144.9723816490449 -37.816008333395324, 144.97257340916482 -37.81637384991775, 144.97278089288537 -37.81666671090871, 144.97322654004844 -37.817249081246025, 144.9732561383287 -37.81726889483273, 144.97339048031927 -37.817354611998006, 144.97329853129267 -37.81749895150572, 144.9727637297199 -37.81767211968285, 144.9727354733566 -37.81764482047313, 144.97226184439944 -37.81775758832494, 144.97225893831092 -37.81774887797034, 144.9711070010843 -37.81799079625244, 144.9709169353862 -37.818046486786805, 144.97140475559115 -37.819093878461274)))",Melbourne (CBD),48,1045,100343
2016,927,"MULTIPOLYGON (((144.94261534355684 -37.786628712217954, 144.94199295353206 -37.78694153994476, 144.94198596624494 -37.786895468661136, 144.9419498384121 -37.786657266498835, 144.94150382650372 -37.78680351178407, 144.94149312772993 -37.786731735331465, 144.94092770522977 -37.78701702178982, 144.94021773879334 -37.78740311908289, 144.94007194234538 -37.787193102155285, 144.93997132218774 -37.787060168823736, 144.94021061971313 -37.78694308560269, 144.9402463270999 -37.78691344859109, 144.94028943864376 -37.786870172884946, 144.94032642843 -37.786823465664696, 144.9403568692143 -37.78677386918207, 144.9403804043337 -37.78672196026605, 144.94039676155091 -37.786668342454135, 144.9404057498487 -37.78661363872655, 144.94040726643897 -37.78655848441934, 144.94040129350694 -37.78650352176013, 144.94038789851038 -37.786449389059364, 144.94036723889354 -37.7863967144844, 144.93979293654493 -37.7851101598418, 144.93938646167416 -37.78386248669192, 144.94013516202463 -37.783814119488895, 144.94024669617704 -37.783669885717806, 144.94069203673553 -37.78344577513267, 144.94159895772046 -37.784316353516964, 144.94178064372008 -37.7855284969422, 144.94188981648188 -37.78551818930171, 144.94219124641174 -37.786263741396674, 144.94232938269113 -37.786412673567405, 144.94242762525232 -37.78635806458778, 144.9424955640339 -37.78643352555236, 144.94261534355684 -37.786628712217954)))",Parkville,2,35,60551
2016,926,"MULTIPOLYGON (((144.94213603240695 -37.787565931994955, 144.94100087779762 -37.78846356967187, 144.94097090493514 -37.78843968267019, 144.94081536327266 -37.78825995152071, 144.9406501551141 -37.788025998599366, 144.94036533544656 -37.78761572755635, 144.94021773879334 -37.78740311908289, 144.94092770522977 -37.78701702178982, 144.94149312772993 -37.786731735331465, 144.94150382650372 -37.78680351178407, 144.9419498384121 -37.786657266498835, 144.94198596624494 -37.786895468661136, 144.94199295353206 -37.78694153994476, 144.94208122158142 -37.78752351835996, 144.94213603240695 -37.787565931994955)))",Parkville,0,0,9128
2016,925,"MULTIPOLYGON (((144.94213603240695 -37.787565931994955, 144.9431901998653 -37.78839783418325, 144.94236512682895 -37.78955080771569, 144.94215724869704 -37.7893851423588, 144.94100087779762 -37.78846356967187, 144.94213603240695 -37.787565931994955)))",Parkville,1,12,16962
2016,924,"MULTIPOLYGON (((144.94213603240695 -37.787565931994955, 144.94208122158142 -37.78752351835996, 144.94199295353206 -37.78694153994476, 144.94261534355684 -37.786628712217954, 144.94273512482715 -37.786823898793806, 144.94285978604267 -37.78694792166022, 144.94308038338772 -37.78718068242834, 144.94318542724693 -37.78729151696978, 144.94371363325857 -37.787848837788395, 144.94333229055502 -37.78838240649871, 144.9431901998653 -37.78839783418325, 144.94213603240695 -37.787565931994955)))",Parkville,0,0,13943
2016,930,"MULTIPOLYGON (((144.9425926937105 -37.7787229075865, 144.94435661785505 -37.77893323413647, 144.94514261968115 -37.77888661188723, 144.94870390255662 -37.779329190973556, 144.94877221504242 -37.77934079288728, 144.9488384877444 -37.77935833134925, 144.94890190466256 -37.77938158848674, 144.94896168459712 -37.77941027854502, 144.9489594146919 -37.77942236257194, 144.94895824114766 -37.77942193480358, 144.94857383410368 -37.781412430697905, 144.94733189179445 -37.782081523310424, 144.94687871571261 -37.781911960434705, 144.94631288675976 -37.78186740576439, 144.94588599508813 -37.781757648071945, 144.9463749375775 -37.78137294442767, 144.94715758811006 -37.78086389129434, 144.94742980129533 -37.78045000846393, 144.94751976826248 -37.78008317282673, 144.94770548460664 -37.77977981191113, 144.94825500251287 -37.77936516492319, 144.94792489456563 -37.77932411314267, 144.94736290903535 -37.77981076352201, 144.94690837851928 -37.78059542574737, 144.9458277952248 -37.78153989438812, 144.94539804836904 -37.78158192188257, 144.94462205994202 -37.7816578057373, 144.94373781633718 -37.78163586870977, 144.9426242794095 -37.781637036433914, 144.94201682160397 -37.78182026170443, 144.9425926937105 -37.7787229075865)))",Parkville,5,2281,196787
2016,928,"MULTIPOLYGON (((144.9425926937105 -37.7787229075865, 144.94201682160397 -37.78182026170443, 144.9417756440842 -37.78211502188288, 144.94140877136277 -37.78182151317288, 144.9412512457062 -37.781684377178166, 144.9410154361704 -37.78169180188931, 144.94097352273693 -37.78178372188766, 144.94005091934773 -37.78174305488694, 144.9399428546857 -37.78177151104804, 144.93913179685538 -37.78238847408292, 144.93906778773047 -37.782055429045776, 144.93899368609905 -37.78166986250591, 144.93886688518012 -37.78126127684068, 144.93852383063657 -37.78045611659468, 144.937659652055 -37.77896756399404, 144.93714294724523 -37.77797222065697, 144.93707974143973 -37.777786930204954, 144.93795727172017 -37.77789437588265, 144.93782293764485 -37.77758751087052, 144.93773218179945 -37.77735016672783, 144.93769483459653 -37.777249101856256, 144.93766971052474 -37.777180487901305, 144.93768716053896 -37.7771735677978, 144.93770512621796 -37.77716704873251, 144.93778628074384 -37.777101304896625, 144.93784719566915 -37.77704582702879, 144.9379268774396 -37.77697325702361, 144.93803636607524 -37.77686345845081, 144.9381365537292 -37.776749890443675, 144.93817455006933 -37.77667277856137, 144.93821244643004 -37.776595625263106, 144.9382254518574 -37.77653924005415, 144.93823840788184 -37.776482834152404, 144.93829515203663 -37.77638251704477, 144.93836425638065 -37.77628715644315, 144.9384052858227 -37.77621127360095, 144.938492865061 -37.77612345020471, 144.938534928098 -37.77600969809992, 144.93858917132994 -37.775792491291064, 144.9386147831325 -37.77571036102564, 144.9386373624088 -37.77562700254593, 144.93867607445716 -37.77557431680236, 144.93876879638896 -37.77544812812966, 144.94293666952987 -37.77595833775403, 144.9431049665979 -37.77597874526041, 144.9425926937105 -37.7787229075865)))",Parkville,17,379,272775
2016,929,"MULTIPOLYGON (((144.9425926937105 -37.7787229075865, 144.9431049665979 -37.77597874526041, 144.9433879423183 -37.77601305768707, 144.94946132487888 -37.77675065086593, 144.94896168459712 -37.77941027854502, 144.94890190466256 -37.77938158848674, 144.9488384877444 -37.77935833134925, 144.94877221504242 -37.77934079288728, 144.94870390255662 -37.779329190973556, 144.94514261968115 -37.77888661188723, 144.94435661785505 -37.77893323413647, 144.9425926937105 -37.7787229075865)))",Parkville,9,938,176403
