Census year,Carlton,City of Melbourne (total),Docklands,East Melbourne,Kensington,Melbourne (CBD),Melbourne (Remainder),North Melbourne,Parkville,Port Melbourne,South Yarra,Southbank,West Melbourne (Industrial),West Melbourne (Residential)
2002,0.44,0.43,0.26,0.24,0.14,0.5,0.35,0.33,0.25,0.19,0.26,0.47,0.07,0.33
2003,0.44,0.43,0.38,0.27,0.14,0.5,0.35,0.36,0.29,0.19,0.26,0.47,0.05,0.36
2004,0.44,0.44,0.38,0.27,0.15,0.51,0.33,0.36,0.29,0.25,0.3,0.48,0.05,0.36
2005,0.45,0.45,0.56,0.25,0.15,0.52,0.33,0.36,0.28,0.25,0.3,0.48,0.05,0.35
2006,0.45,0.46,0.56,0.25,0.17,0.53,0.33,0.36,0.28,0.26,0.27,0.46,0.05,0.35
2007,0.46,0.46,0.55,0.25,0.17,0.53,0.33,0.33,0.28,0.26,0.27,0.46,0.05,0.38
2008,0.46,0.45,0.55,0.25,0.21,0.52,0.34,0.33,0.28,0.24,0.26,0.49,0.05,0.38
2009,0.45,0.46,0.61,0.24,0.21,0.52,0.34,0.35,0.28,0.24,0.26,0.49,0.06,0.41
2010,0.45,0.46,0.61,0.24,0.21,0.52,0.31,0.35,0.29,0.26,0.26,0.49,0.06,0.41
2011,0.45,0.47,0.61,0.24,0.25,0.53,0.31,0.35,0.29,0.26,0.26,0.59,0.06,0.41
2012,0.44,0.47,0.58,0.25,0.25,0.53,0.31,0.33,0.31,0.26,0.26,0.59,0.06,0.44
2013,0.44,0.47,0.58,0.25,0.27,0.54,0.32,0.33,0.31,0.23,0.2,0.59,0.06,0.44
2014,0.44,0.47,0.57,0.22,0.27,0.54,0.32,0.33,0.32,0.23,0.2,0.59,0.07,0.44
2015,0.44,0.48,0.57,0.22,0.27,0.55,0.33,0.33,0.32,0.24,0.24,0.6,0.07,0.44
2016,0.45,0.48,0.55,0.22,0.27,0.54,0.33,0.33,0.29,0.24,0.24,0.6,0.12,0.42
2017,0.45,0.47,0.55,0.22,0.27,0.54,0.33,0.33,0.29,0.23,0.23,0.58,0.12,0.42
2018,0.44,0.47,0.53,0.22,0.27,0.53,0.33,0.36,0.29,0.23,0.23,0.58,0.1,0.44
2019,0.44,0.47,0.53,0.22,0.26,0.53,0.31,0.36,0.29,0.23,0.24,0.59,0.1,0.44
